split,model,target,n_pos,capture@1%,capture@5%,capture@10%,capture@20%,capture_auc,roc_auc_pu,top1_acc,cross_entropy,mass_on_present
holdout_south_america,knn,all,8394,0.018942101501072194,0.09244698594233977,0.16726233023588277,0.2388610912556588,0.5589376360219408,0.5598941192131593,,,
holdout_south_america,knn,non_us,8394,0.018942101501072194,0.09244698594233977,0.16726233023588277,0.2388610912556588,0.5589376360219408,0.5598941192131593,,,
holdout_south_america,knn,world_class,341,0.017595307917888565,0.07624633431085044,0.12023460410557185,0.22580645161290322,0.5485019075919572,0.5485324722689985,,,
holdout_south_america,gbm,all,8394,0.04169644984512747,0.18846795329997618,0.30116750059566355,0.46509411484393615,0.7249875170218583,0.7286415062307477,,,
holdout_south_america,gbm,non_us,8394,0.04169644984512747,0.18846795329997618,0.30116750059566355,0.46509411484393615,0.7249875170218583,0.7286415062307477,,,
holdout_south_america,gbm,world_class,341,0.0469208211143695,0.2434017595307918,0.375366568914956,0.5454545454545454,0.7609766161783889,0.7611452510924104,,,
holdout_south_america,nn,composition,8394,,,,,,,0.28117043897709326,2.7147247791290283,0.3569321930408478
holdout_south_america,class_prior,composition,8394,,,,,,,0.28492394759303225,2.2911205291748047,0.2211296409368515
holdout_australia,nn,all,743,0.047106325706594884,0.1655450874831763,0.29475100942126514,0.49259757738896365,0.7284384988425269,0.7291086016614254,,,
holdout_australia,nn,non_us,743,0.047106325706594884,0.1655450874831763,0.29475100942126514,0.49259757738896365,0.7284384988425269,0.7291086016614254,,,
holdout_australia,nn,world_class,139,0.02158273381294964,0.17266187050359713,0.381294964028777,0.60431654676259,0.7501354623119364,0.7502707962927233,,,
holdout_australia,knn,all,743,0.009421265141318977,0.02288021534320323,0.07806191117092867,0.1480484522207268,0.4394393047130855,0.4392591437178961,,,
holdout_australia,knn,non_us,743,0.009421265141318977,0.02288021534320323,0.07806191117092867,0.1480484522207268,0.4394393047130855,0.4392591437178961,,,
holdout_australia,knn,world_class,139,0.0,0.02158273381294964,0.04316546762589928,0.10071942446043165,0.44648642178504394,0.4464550617413842,,,
holdout_australia,gbm,all,743,0.03095558546433378,0.17092866756393002,0.2920592193808883,0.4791386271870794,0.7360747350833122,0.7367673504595184,,,
holdout_australia,gbm,non_us,743,0.03095558546433378,0.17092866756393002,0.2920592193808883,0.4791386271870794,0.7360747350833122,0.7367673504595184,,,
holdout_australia,gbm,world_class,139,0.007194244604316547,0.15827338129496402,0.31654676258992803,0.4892086330935252,0.7569176390279618,0.757056739798789,,,
holdout_australia,nn,composition,743,,,,,,,0.06790123420956073,3.995539665222168,0.12348182499408722
holdout_australia,class_prior,composition,743,,,,,,,0.2616598035421792,2.4505183696746826,0.22212788462638855
holdout_africa,nn,all,2145,0.03076923076923077,0.15011655011655012,0.275990675990676,0.49230769230769234,0.7462081264793499,0.7467574282816909,,,
holdout_africa,nn,non_us,2145,0.03076923076923077,0.15011655011655012,0.275990675990676,0.49230769230769234,0.7462081264793499,0.7467574282816909,,,
holdout_africa,nn,world_class,878,0.03416856492027335,0.16173120728929385,0.29043280182232345,0.49430523917995445,0.7557829943412355,0.7560159746343075,,,
holdout_africa,knn,all,2145,0.06433566433566433,0.18787878787878787,0.22843822843822845,0.28205128205128205,0.45504923144479587,0.4549483294442848,,,
holdout_africa,knn,non_us,2145,0.06433566433566433,0.18787878787878787,0.22843822843822845,0.28205128205128205,0.45504923144479587,0.4549483294442848,,,
holdout_africa,knn,world_class,878,0.03189066059225513,0.12414578587699317,0.15945330296127563,0.224373576309795,0.3924477157748972,0.39234901417201246,,,
holdout_africa,gbm,all,2145,0.017715617715617717,0.21818181818181817,0.3939393939393939,0.6013986013986014,0.7948410089577149,0.7954989107727699,,,
holdout_africa,gbm,non_us,2145,0.017715617715617717,0.21818181818181817,0.3939393939393939,0.6013986013986014,0.7948410089577149,0.7954989107727699,,,
holdout_africa,gbm,world_class,878,0.0193621867881549,0.224373576309795,0.4054669703872437,0.6355353075170843,0.8094687762891142,0.8097507625976406,,,
holdout_africa,nn,composition,2145,,,,,,,0.12388822034634957,3.045685052871704,0.1775653213262558
holdout_africa,class_prior,composition,2145,,,,,,,0.1647637630431457,2.635427474975586,0.16895397007465363
