split,model,target,n_pos,capture@1%,capture@5%,capture@10%,capture@20%,capture_auc,roc_auc_pu,top1_acc,cross_entropy,mass_on_present
cv4,nn,world_class,938,0.05223880597014925,0.21641791044776118,0.38912579957356075,0.6407249466950959,0.8150582243085644,0.8153616277527502,,,
cv4,knn,all,6145,0.09227013832384053,0.22489829129373473,0.35768917819365337,0.4810414971521562,0.7221826218951944,0.7235937953895506,,,
cv4,knn,non_us,2529,0.051403716884143934,0.14274416765519968,0.27006722024515617,0.40569395017793597,0.6995838406937209,0.7001032749254688,,,
cv4,knn,world_class,938,0.054371002132196165,0.1300639658848614,0.23880597014925373,0.35181236673773986,0.6638391770826755,0.6639967134820768,,,
cv4,gbm,all,6145,0.044589096826688365,0.2986167615947925,0.5025223759153784,0.7360455655004068,0.8511238857395175,0.8533543182540528,,,
cv4,gbm,non_us,2529,0.05258995650454725,0.20245156188216687,0.3681296955318308,0.5998418347172796,0.8027747723608217,0.8035630362308915,,,
cv4,gbm,world_class,938,0.06396588486140725,0.26545842217484006,0.4584221748400853,0.673773987206823,0.833727633674288,0.8340490567912142,,,
cv4,nn,composition,6145,,,,,,,0.34076484947111474,2.246753215789795,0.41886061429977417
cv4,class_prior,composition,6145,,,,,,,0.2740439381611066,2.546811819076538,0.29832014441490173
holdout_south_america,nn,all,4930,0.008519269776876268,0.06389452332657201,0.18864097363083165,0.44503042596348885,0.7271909957445687,0.7293432755016795,,,
holdout_south_america,nn,non_us,4930,0.008519269776876268,0.06389452332657201,0.18864097363083165,0.44503042596348885,0.7271909957445687,0.7293432755016795,,,
holdout_south_america,nn,world_class,341,0.002932551319648094,0.09090909090909091,0.21700879765395895,0.39589442815249265,0.6884472806964547,0.6885688013894398,,,
holdout_south_america,knn,all,4930,0.009330628803245436,0.08235294117647059,0.13610547667342798,0.19553752535496957,0.5346836592195982,0.5350114170380746,,,
holdout_south_america,knn,non_us,4930,0.009330628803245436,0.08235294117647059,0.13610547667342798,0.19553752535496957,0.5346836592195982,0.5350114170380746,,,
holdout_south_america,knn,world_class,341,0.03519061583577713,0.07331378299120235,0.12023460410557185,0.22287390029325513,0.5407299836877942,0.5407554980161029,,,
holdout_south_america,gbm,all,4930,0.01257606490872211,0.1308316430020284,0.2359026369168357,0.3797160243407708,0.6797365624156182,0.6814390836770967,,,
holdout_south_america,gbm,non_us,4930,0.01257606490872211,0.1308316430020284,0.2359026369168357,0.3797160243407708,0.6797365624156182,0.6814390836770967,,,
holdout_south_america,gbm,world_class,341,0.020527859237536656,0.12609970674486803,0.22580645161290322,0.375366568914956,0.6855133946270524,0.6856329836756687,,,
holdout_south_america,nn,composition,4930,,,,,,,0.28498985801217036,2.504297971725464,0.37405359745025635
holdout_south_america,class_prior,composition,4930,,,,,,,0.3077079107505071,2.218951940536499,0.24538876116275787
holdout_australia,nn,all,462,0.08874458874458875,0.20346320346320346,0.34415584415584416,0.5476190476190477,0.7699129652650711,0.7704042860659979,,,
holdout_australia,nn,non_us,462,0.08874458874458875,0.20346320346320346,0.34415584415584416,0.5476190476190477,0.7699129652650711,0.7704042860659979,,,
holdout_australia,nn,world_class,139,0.1223021582733813,0.20863309352517986,0.34532374100719426,0.539568345323741,0.7723003233257295,0.7724479277195222,,,
holdout_australia,knn,all,462,0.012987012987012988,0.02813852813852814,0.07142857142857142,0.13636363636363635,0.41075316156650354,0.41058809143843994,,,
holdout_australia,knn,non_us,462,0.012987012987012988,0.02813852813852814,0.07142857142857142,0.13636363636363635,0.41075316156650354,0.41058809143843994,,,
holdout_australia,knn,world_class,139,0.0,0.02158273381294964,0.04316546762589928,0.1223021582733813,0.44118737133352753,0.44115310152948994,,,
holdout_australia,gbm,all,462,0.06060606060606061,0.16666666666666666,0.2554112554112554,0.487012987012987,0.7486593855930075,0.7491118241472257,,,
holdout_australia,gbm,non_us,462,0.06060606060606061,0.16666666666666666,0.2554112554112554,0.487012987012987,0.7486593855930075,0.7491118241472257,,,
holdout_australia,gbm,world_class,139,0.04316546762589928,0.11510791366906475,0.19424460431654678,0.4676258992805755,0.7450926228173639,0.7452252303562523,,,
holdout_australia,nn,composition,462,,,,,,,0.11255411255411256,3.7968454360961914,0.17592047154903412
holdout_australia,class_prior,composition,462,,,,,,,0.29653679653679654,2.357161283493042,0.24973680078983307
holdout_africa,nn,all,1240,0.04516129032258064,0.26370967741935486,0.43629032258064515,0.6016129032258064,0.7817905265653418,0.7821532749181876,,,
holdout_africa,nn,non_us,1240,0.04516129032258064,0.26370967741935486,0.43629032258064515,0.6016129032258064,0.7817905265653418,0.7821532749181876,,,
holdout_africa,nn,world_class,878,0.04555808656036447,0.26651480637813213,0.43621867881548976,0.5979498861047836,0.7884213768664846,0.7886838600049064,,,
holdout_africa,knn,all,1240,0.037096774193548385,0.14596774193548387,0.18870967741935485,0.2411290322580645,0.4008141469041657,0.40068570300745004,,,
holdout_africa,knn,non_us,1240,0.037096774193548385,0.14596774193548387,0.18870967741935485,0.2411290322580645,0.4008141469041657,0.40068570300745004,,,
holdout_africa,knn,world_class,878,0.02164009111617312,0.1252847380410023,0.16400911161731208,0.22323462414578588,0.3939643988641417,0.39386708180264396,,,
holdout_africa,gbm,all,1240,0.04516129032258064,0.22983870967741934,0.4096774193548387,0.6282258064516129,0.7991597690239813,0.7995450869223206,,,
holdout_africa,gbm,non_us,1240,0.04516129032258064,0.22983870967741934,0.4096774193548387,0.6282258064516129,0.7991597690239813,0.7995450869223206,,,
holdout_africa,gbm,world_class,878,0.04214123006833713,0.21753986332574032,0.3940774487471526,0.6343963553530751,0.8020007118783775,0.8022758807809933,,,
holdout_africa,nn,composition,1240,,,,,,,0.15806451612903225,2.830629825592041,0.2009422779083252
holdout_africa,class_prior,composition,1240,,,,,,,0.1782258064516129,2.6467132568359375,0.18897928297519684
